,id,zipcode,condition,price,median_price_zip,recommendation,price_savings
0,7129300520,98178,3,221900.0,278277.0,buy,56377.0
1,4060000240,98178,4,205425.0,278277.0,buy,72852.0
2,4058801670,98178,3,445000.0,278277.0,not_buy,-166723.0
3,2976800796,98178,3,236000.0,278277.0,buy,42277.0
4,6874200960,98178,3,170000.0,278277.0,buy,108277.0
5,4268200055,98178,3,245000.0,278277.0,buy,33277.0
6,3969300030,98178,3,165000.0,278277.0,buy,113277.0
7,3969300030,98178,3,239900.0,278277.0,buy,38377.0
8,1678400105,98178,3,339000.0,278277.0,not_buy,-60723.0
9,2172000075,98178,3,290900.0,278277.0,not_buy,-12623.0
10,1180003090,98178,3,190000.0,278277.0,buy,88277.0
11,561000075,98178,4,260000.0,278277.0,buy,18277.0
12,1123049053,98178,3,360000.0,278277.0,not_buy,-81723.0
13,7812800565,98178,4,289500.0,278277.0,not_buy,-11223.0
14,3348401740,98178,3,188000.0,278277.0,buy,90277.0
15,2171400197,98178,3,350000.0,278277.0,not_buy,-71723.0
16,5476200160,98178,3,164808.0,278277.0,buy,113469.0
17,9368700223,98178,5,310000.0,278277.0,not_buy,-31723.0
18,7567600045,98178,4,825000.0,278277.0,not_buy,-546723.0
19,2171400126,98178,3,269000.0,278277.0,buy,9277.0
20,3352402236,98178,5,252500.0,278277.0,buy,25777.0
21,8069000075,98178,3,790000.0,278277.0,not_buy,-511723.0
22,7812800310,98178,3,260000.0,278277.0,buy,18277.0
23,2171400218,98178,3,245000.0,278277.0,buy,33277.0
24,8073000550,98178,3,1700000.0,278277.0,not_buy,-1421723.0
25,4058800830,98178,3,612000.0,278277.0,not_buy,-333723.0
26,9368700341,98178,5,285000.0,278277.0,not_buy,-6723.0
27,1180002378,98178,3,299000.0,278277.0,not_buy,-20723.0
28,185000118,98178,5,212000.0,278277.0,buy,66277.0
29,3810000860,98178,3,240000.0,278277.0,buy,38277.0
30,3810000565,98178,3,255000.0,278277.0,buy,23277.0
31,1180500070,98178,3,335000.0,278277.0,not_buy,-56723.0
32,179000350,98178,3,194000.0,278277.0,buy,84277.0
33,3810000202,98178,3,251700.0,278277.0,buy,26577.0
34,4058802105,98178,3,150000.0,278277.0,buy,128277.0
35,2976800550,98178,3,280005.0,278277.0,not_buy,-1728.0
36,3810000465,98178,4,243000.0,278277.0,buy,35277.0
37,7129300400,98178,3,400000.0,278277.0,not_buy,-121723.0
38,7878400135,98178,3,355000.0,278277.0,not_buy,-76723.0
39,7887200390,98178,3,294000.0,278277.0,not_buy,-15723.0
