,id,zipcode,season,price,median_price_season,sell_price,lucre
0,7129300520,98178,fall,221900.0,221900.0,288470.0,66570.0
1,3969300030,98178,fall,239900.0,221900.0,263890.0,23990.0
2,561000075,98178,fall,260000.0,221900.0,286000.0,26000.0
3,3352402236,98178,fall,252500.0,221900.0,277750.0,25250.0
4,179000350,98178,fall,194000.0,221900.0,252200.0,58200.0
5,179003055,98178,fall,210000.0,221900.0,273000.0,63000.0
6,3352402250,98178,fall,119900.0,221900.0,155870.0,35970.0
7,399000195,98178,fall,200000.0,221900.0,260000.0,60000.0
8,2328800130,98178,fall,220000.0,221900.0,286000.0,66000.0
9,7129300420,98178,fall,258000.0,221900.0,283800.0,25800.0
10,185000161,98178,fall,261000.0,221900.0,287100.0,26100.0
11,8068000305,98178,fall,241000.0,221900.0,265100.0,24100.0
12,7812800865,98178,fall,170000.0,221900.0,221000.0,51000.0
13,7657600195,98178,fall,199950.0,221900.0,259935.0,59985.0
14,2520900301,98178,fall,239300.0,221900.0,263230.0,23930.0
15,7812800515,98178,fall,159075.0,221900.0,206797.5,47722.5
16,179001425,98178,fall,230000.0,221900.0,253000.00000000003,23000.00000000003
17,179000505,98178,fall,257000.0,221900.0,282700.0,25700.0
18,1180002735,98178,fall,269000.0,221900.0,295900.0,26900.0
19,4279900140,98178,fall,251000.0,221900.0,276100.0,25100.0
20,3352401090,98178,fall,238950.0,221900.0,262845.0,23895.0
21,1180003435,98178,fall,275000.0,221900.0,302500.0,27500.0
22,393000385,98178,fall,255000.0,221900.0,280500.0,25500.0
23,2976800749,98178,fall,150000.0,221900.0,195000.0,45000.0
24,7812801590,98178,fall,219900.0,221900.0,285870.0,65970.0
25,3352400351,98178,fall,200000.0,221900.0,260000.0,60000.0
26,7812801850,98178,fall,194000.0,221900.0,252200.0,58200.0
27,3347400525,98178,fall,147000.0,221900.0,191100.0,44100.0
28,7657600005,98178,fall,249950.0,221900.0,274945.0,24995.0
29,7689600630,98178,fall,216500.0,221900.0,281450.0,64950.0
30,4059400190,98178,fall,225000.0,221900.0,247500.00000000003,22500.00000000003
31,1123049126,98178,fall,227000.0,221900.0,249700.00000000003,22700.00000000003
32,3352401476,98178,fall,199988.0,221900.0,259984.40000000002,59996.40000000002
33,7689600215,98178,fall,202500.0,221900.0,263250.0,60750.0
34,3352400661,98178,fall,135900.0,221900.0,176670.0,40770.0
35,4060000240,98178,spring,205425.0,229725.0,267052.5,61627.5
36,4268200055,98178,spring,245000.0,229725.0,269500.0,24500.0
37,2171400126,98178,spring,269000.0,229725.0,295900.0,26900.0
38,7812800310,98178,spring,260000.0,229725.0,286000.0,26000.0
39,2171400218,98178,spring,245000.0,229725.0,269500.0,24500.0
40,3810000860,98178,spring,240000.0,229725.0,264000.0,24000.0
41,3810000465,98178,spring,243000.0,229725.0,267300.0,24300.0
42,3352401981,98178,spring,199000.0,229725.0,258700.0,59700.0
43,2172000750,98178,spring,160000.0,229725.0,208000.0,48000.0
44,399000025,98178,spring,265000.0,229725.0,291500.0,26500.0
45,9368700031,98178,spring,195000.0,229725.0,253500.0,58500.0
46,7812801115,98178,spring,153000.0,229725.0,198900.0,45900.0
47,3348401095,98178,spring,210000.0,229725.0,273000.0,63000.0
48,2144800615,98178,spring,190000.0,229725.0,247000.0,57000.0
49,2172000846,98178,spring,248000.0,229725.0,272800.0,24800.0
50,1180007005,98178,spring,265950.0,229725.0,292545.0,26595.0
51,2144800117,98178,spring,270000.0,229725.0,297000.0,27000.0
52,7812801925,98178,spring,230000.0,229725.0,253000.00000000003,23000.00000000003
53,4440400125,98178,spring,228000.0,229725.0,296400.0,68400.0
54,9368700270,98178,spring,137900.0,229725.0,179270.0,41370.0
55,3352402272,98178,spring,230000.0,229725.0,253000.00000000003,23000.00000000003
56,7689600360,98178,spring,215000.0,229725.0,279500.0,64500.0
57,3352400905,98178,spring,245000.0,229725.0,269500.0,24500.0
58,3348401490,98178,spring,265000.0,229725.0,291500.0,26500.0
59,1180003175,98178,spring,229950.0,229725.0,252945.00000000003,22995.00000000003
60,2976800145,98178,spring,260000.0,229725.0,286000.0,26000.0
61,179001046,98178,spring,229000.0,229725.0,297700.0,68700.0
